job_title,role_category,open_roles,top_locations,experience_level,work_mode,skills,job_links
60Th Anniversary Chair (Professor) In Human Resource Management/ Employment Relations,HR,1,Manchester Science Park,Senior,On-site,"['People Management', 'Recruitment']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5539110061?utm_medium=api&utm_source=026f28a2""}]"
A&E Consultant,Business,1,Milton Keynes,Senior,On-site,"['Analysis', 'Communication']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5579239493?se=5oxhycgA8RGhuY8Zc5lhIQ&utm_medium=api&utm_source=026f28a2&v=118498D73B10CCFC81EC669CD1AC56571C7A2D34""}]"
Account Development Manager,Healthcare,1,Reading,Senior,On-site,['Clinical Knowledge'],"[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5576797191?utm_medium=api&utm_source=026f28a2""}]"
Accountant,Finance,17,"Haverfordwest, Hereford, Edinburgh",Mid,On-site,"['Accounting', 'Reporting']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5549283298?se=eiFD08gA8RGV19jEQmXbTQ&utm_medium=api&utm_source=026f28a2&v=8502C8ADA5DD95659DB00EFCAC550A3C7CF3D831""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5607507653?se=eiFD08gA8RGV19jEQmXbTQ&utm_medium=api&utm_source=026f28a2&v=1A7C298E226194CD94C4F76156023C8C3BF1B49F""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5549283026?se=eiFD08gA8RGV19jEQmXbTQ&utm_medium=api&utm_source=026f28a2&v=367C4DD3AD0BEF960AFEEF01610B33A40069422B""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5604757154?se=eiFD08gA8RGV19jEQmXbTQ&utm_medium=api&utm_source=026f28a2&v=7072870B4438396C9F245A204D3356171A185F5E""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5604757115?se=eiFD08gA8RGV19jEQmXbTQ&utm_medium=api&utm_source=026f28a2&v=5C4E2D51D1158C1F2E38C628777E3DEF9C7240E9""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5549283249?se=eiFD08gA8RGV19jEQmXbTQ&utm_medium=api&utm_source=026f28a2&v=B4DF1139FC90A84F23A890F811D581496E5B4F52""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5549282831?se=eiFD08gA8RGV19jEQmXbTQ&utm_medium=api&utm_source=026f28a2&v=9118D9B73D01E58C548BB2B34535E295411F2E74""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5549283211?se=eiFD08gA8RGV19jEQmXbTQ&utm_medium=api&utm_source=026f28a2&v=FD4E05CFE24C2659A53D689DEE7A7379D24ED946""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5581957640?se=eiFD08gA8RGV19jEQmXbTQ&utm_medium=api&utm_source=026f28a2&v=34EB3872E4D9F4D2D3444319965CC39540EF5CAE""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5549283147?se=eiFD08gA8RGV19jEQmXbTQ&utm_medium=api&utm_source=026f28a2&v=CB4A5523A8959A98A69B9A9700116393D0BC9B09""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5549283457?se=eiFD08gA8RGV19jEQmXbTQ&utm_medium=api&utm_source=026f28a2&v=C022A009C5284C516595D387FE65A4FAFEA889A4""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5581957656?se=eiFD08gA8RGV19jEQmXbTQ&utm_medium=api&utm_source=026f28a2&v=6A6B4D3B3B2E02FA6428D4333A63F39C876E25C6""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5604757091?se=eiFD08gA8RGV19jEQmXbTQ&utm_medium=api&utm_source=026f28a2&v=399D43CD461161BE6F3F193A0C14800FA9CE2328""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5549283300?se=eiFD08gA8RGV19jEQmXbTQ&utm_medium=api&utm_source=026f28a2&v=B716899047C23723CD175F889B73CBF6D3D52D92""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5549282872?se=eiFD08gA8RGV19jEQmXbTQ&utm_medium=api&utm_source=026f28a2&v=39DF4B6923EAECDADFAEB820E8D0C94CF33CDEB1""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5600787889?se=eiFD08gA8RGV19jEQmXbTQ&utm_medium=api&utm_source=026f28a2&v=24DE0CEEDB6F5DD7D950D2304EA52446262BE750""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5549282251?se=eiFD08gA8RGV19jEQmXbTQ&utm_medium=api&utm_source=026f28a2&v=7C72B892B54E125F791B1D9AE5367DC5A386329C""}]"
Accountant - Accounts Preparation,Finance,2,Belfast,Mid,On-site,"['Accounting', 'Reporting']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5549282380?se=eiFD08gA8RGV19jEQmXbTQ&utm_medium=api&utm_source=026f28a2&v=02F30D3293D60D9C4FBEFBF1123AED42F0D04267""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5570926459?se=eiFD08gA8RGV19jEQmXbTQ&utm_medium=api&utm_source=026f28a2&v=C42C105FEE93DEB2FB4B5642B9590FF82E22A6BA""}]"
Accountant - Manager,Finance,1,Flintshire,Mid,Hybrid,"['Accounting', 'Reporting']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5581957804?se=eiFD08gA8RGV19jEQmXbTQ&utm_medium=api&utm_source=026f28a2&v=1D472F90362E9FC4A6C8DABB86859F9F1AB9CB8D""}]"
Adhd Operations Manager,Business,1,London,Mid,On-site,"['Analysis', 'Communication']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5570439036?se=jkTCzMgA8RGhuY8Zc5lhIQ&utm_medium=api&utm_source=026f28a2&v=481A936DA787DE12E8F0D3EF8C29E23F6AD6D940""}]"
Advanced Analytics,Data,1,London,Mid,Hybrid,"['Data Analysis', 'SQL']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5378335424?utm_medium=api&utm_source=026f28a2""}]"
Advisory Consultant,Business,1,Leeds,Mid,Hybrid,"['Analysis', 'Communication']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5608356467?se=5oxhycgA8RGhuY8Zc5lhIQ&utm_medium=api&utm_source=026f28a2&v=C2444A813CF6013A7B3701A041EA588F7608B14F""}]"
Algorithm Software Engineer,Engineering,2,"Bristol, Filton",Mid,On-site,"['Problem Solving', 'System Design']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5599943095?se=TJbHrcgA8RGV19jEQmXbTQ&utm_medium=api&utm_source=026f28a2&v=821A9FF2EB85A700E195FB5FD7A2EE96FE08975D""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5610148378?se=CkM4r8gA8RGhuY8Zc5lhIQ&utm_medium=api&utm_source=026f28a2&v=EA5831DD6C0FFC3F0681CFBB91EF875D39441385""}]"
